Fund,ISIN,Index,Country,Allocation
SPDR MSCI World Health Care UCITS ETF,IE00BYTRRB94,MSCI World Health Care,Switzerland,7.19
SPDR MSCI World Health Care UCITS ETF,IE00BYTRRB94,MSCI World Health Care,Japan,4.0
SPDR MSCI World Health Care UCITS ETF,IE00BYTRRB94,MSCI World Health Care,United Kingdom,3.99
Xtrackers MSCI World High Dividend Yield UCITS ETF 1D USD,IE00BCHWNQ94,MSCI World High Dividend Yield,United States,70.3
Xtrackers MSCI World High Dividend Yield UCITS ETF 1D USD,IE00BCHWNQ94,MSCI World High Dividend Yield,Other,17.84
Xtrackers MSCI World High Dividend Yield UCITS ETF 1D USD,IE00BCHWNQ94,MSCI World High Dividend Yield,Japan,5.55
Xtrackers MSCI World High Dividend Yield UCITS ETF 1D USD,IE00BCHWNQ94,MSCI World High Dividend Yield,United Kingdom,3.22
Xtrackers MSCI World High Dividend Yield UCITS ETF 1D USD,IE00BCHWNQ94,MSCI World High Dividend Yield,Canada,3.09
iShares MSCI World Quality Dividend UCITS ETF USD (Acc),IE00BKPSFC54,MSCI World High Dividend Yield,United States,47.76
iShares MSCI World Quality Dividend UCITS ETF USD (Acc),IE00BKPSFC54,MSCI World High Dividend Yield,Other,31.99
iShares MSCI World Quality Dividend UCITS ETF USD (Acc),IE00BKPSFC54,MSCI World High Dividend Yield,Switzerland,6.94
iShares MSCI World Quality Dividend UCITS ETF USD (Acc),IE00BKPSFC54,MSCI World High Dividend Yield,Japan,6.92
iShares MSCI World Quality Dividend UCITS ETF USD (Acc),IE00BKPSFC54,MSCI World High Dividend Yield,United Kingdom,6.39
iShares MSCI World Quality Dividend UCITS ETF,IE00BYYHSQ67,MSCI World High Dividend Yield,United States,47.76
iShares MSCI World Quality Dividend UCITS ETF,IE00BYYHSQ67,MSCI World High Dividend Yield,Other,31.99
iShares MSCI World Quality Dividend UCITS ETF,IE00BYYHSQ67,MSCI World High Dividend Yield,Switzerland,6.94
iShares MSCI World Quality Dividend UCITS ETF,IE00BYYHSQ67,MSCI World High Dividend Yield,Japan,6.92
iShares MSCI World Quality Dividend UCITS ETF,IE00BYYHSQ67,MSCI World High Dividend Yield,United Kingdom,6.39
Xtrackers MSCI World Industrials UCITS ETF 1C,IE00BM67HV82,MSCI World Industrials,United States,51.22
Xtrackers MSCI World Industrials UCITS ETF 1C,IE00BM67HV82,MSCI World Industrials,Other,26.85
Xtrackers MSCI World Industrials UCITS ETF 1C,IE00BM67HV82,MSCI World Industrials,Japan,11.78
Xtrackers MSCI World Industrials UCITS ETF 1C,IE00BM67HV82,MSCI World Industrials,France,5.36
Xtrackers MSCI World Industrials UCITS ETF 1C,IE00BM67HV82,MSCI World Industrials,Ireland,4.79
SPDR MSCI World Industrials UCITS ETF,IE00BYTRRC02,MSCI World Industrials,United States,51.16
SPDR MSCI World Industrials UCITS ETF,IE00BYTRRC02,MSCI World Industrials,Other,26.83
SPDR MSCI World Industrials UCITS ETF,IE00BYTRRC02,MSCI World Industrials,Japan,11.81
SPDR MSCI World Industrials UCITS ETF,IE00BYTRRC02,MSCI World Industrials,France,5.38
SPDR MSCI World Industrials UCITS ETF,IE00BYTRRC02,MSCI World Industrials,Ireland,4.82
iShares MSCI World Information Technology Sector UCITS ETF USD (Dist),IE00BJ5JNY98,MSCI World Information Technology,United States,76.42
iShares MSCI World Information Technology Sector UCITS ETF USD (Dist),IE00BJ5JNY98,MSCI World Information Technology,Other,9.13
iShares MSCI World Information Technology Sector UCITS ETF USD (Dist),IE00BJ5JNY98,MSCI World Information Technology,Japan,5.01
iShares MSCI World Information Technology Sector UCITS ETF USD (Dist),IE00BJ5JNY98,MSCI World Information Technology,Germany,4.97
iShares MSCI World Information Technology Sector UCITS ETF USD (Dist),IE00BJ5JNY98,MSCI World Information Technology,Netherlands,4.47
Xtrackers MSCI World Information Technology UCITS ETF 1C,IE00BM67HT60,MSCI World Information Technology,United States,87.73
Xtrackers MSCI World Information Technology UCITS ETF 1C,IE00BM67HT60,MSCI World Information Technology,Other,5.75
Xtrackers MSCI World Information Technology UCITS ETF 1C,IE00BM67HT60,MSCI World Information Technology,Japan,2.82
Xtrackers MSCI World Information Technology UCITS ETF 1C,IE00BM67HT60,MSCI World Information Technology,Netherlands,2.02
Xtrackers MSCI World Information Technology UCITS ETF 1C,IE00BM67HT60,MSCI World Information Technology,Germany,1.68
SPDR MSCI World Technology UCITS ETF,IE00BYTRRD19,MSCI World Information Technology,United States,87.77
SPDR MSCI World Technology UCITS ETF,IE00BYTRRD19,MSCI World Information Technology,Other,5.74
SPDR MSCI World Technology UCITS ETF,IE00BYTRRD19,MSCI World Information Technology,Japan,2.78
SPDR MSCI World Technology UCITS ETF,IE00BYTRRD19,MSCI World Information Technology,Netherlands,2.04
SPDR MSCI World Technology UCITS ETF,IE00BYTRRD19,MSCI World Information Technology,Germany,1.67
Xtrackers MSCI World ESG UCITS ETF 1C,IE00BZ02LR44,MSCI World Low Carbon SRI Leaders,United States,71.57
Xtrackers MSCI World ESG UCITS ETF 1C,IE00BZ02LR44,MSCI World Low Carbon SRI Leaders,Other,16.85
Xtrackers MSCI World ESG UCITS ETF 1C,IE00BZ02LR44,MSCI World Low Carbon SRI Leaders,Japan,5.96
Xtrackers MSCI World ESG UCITS ETF 1C,IE00BZ02LR44,MSCI World Low Carbon SRI Leaders,United Kingdom,2.83
Xtrackers MSCI World ESG UCITS ETF 1C,IE00BZ02LR44,MSCI World Low Carbon SRI Leaders,Canada,2.79
Xtrackers MSCI World Materials UCITS ETF 1C,IE00BM67HS53,MSCI World Materials,Other,40.61
Xtrackers MSCI World Materials UCITS ETF 1C,IE00BM67HS53,MSCI World Materials,United States,32.49
Xtrackers MSCI World Materials UCITS ETF 1C,IE00BM67HS53,MSCI World Materials,Canada,9.33
Xtrackers MSCI World Materials UCITS ETF 1C,IE00BM67HS53,MSCI World Materials,Australia,9.27
Xtrackers MSCI World Materials UCITS ETF 1C,IE00BM67HS53,MSCI World Materials,Switzerland,8.3
SPDR MSCI World Materials UCITS ETF,IE00BYTRRF33,MSCI World Materials,Other,40.71
SPDR MSCI World Materials UCITS ETF,IE00BYTRRF33,MSCI World Materials,United States,32.49
SPDR MSCI World Materials UCITS ETF,IE00BYTRRF33,MSCI World Materials,Canada,9.38
SPDR MSCI World Materials UCITS ETF,IE00BYTRRF33,MSCI World Materials,Australia,9.15
SPDR MSCI World Materials UCITS ETF,IE00BYTRRF33,MSCI World Materials,Switzerland,8.27
iShares Edge MSCI World Size Factor UCITS ETF,IE00BP3QZD73,MSCI World Mid-Cap Equal Weighted,Other,37.92
iShares Edge MSCI World Size Factor UCITS ETF,IE00BP3QZD73,MSCI World Mid-Cap Equal Weighted,United States,37.03
iShares Edge MSCI World Size Factor UCITS ETF,IE00BP3QZD73,MSCI World Mid-Cap Equal Weighted,Japan,14.71
iShares Edge MSCI World Size Factor UCITS ETF,IE00BP3QZD73,MSCI World Mid-Cap Equal Weighted,United Kingdom,5.49
iShares Edge MSCI World Size Factor UCITS ETF,IE00BP3QZD73,MSCI World Mid-Cap Equal Weighted,Canada,4.85
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,MSCI World Minimum Volatility (USD),United States,63.9
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,MSCI World Minimum Volatility (USD),Other,16.86
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,MSCI World Minimum Volatility (USD),Japan,10.49
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,MSCI World Minimum Volatility (USD),Switzerland,5.38
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,MSCI World Minimum Volatility (USD),Canada,3.37
Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,IE00BL25JN58,MSCI World Minimum Volatility (USD),United States,64.04
Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,IE00BL25JN58,MSCI World Minimum Volatility (USD),Other,16.63
Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,IE00BL25JN58,MSCI World Minimum Volatility (USD),Japan,10.52
Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,IE00BL25JN58,MSCI World Minimum Volatility (USD),Switzerland,5.42
Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,IE00BL25JN58,MSCI World Minimum Volatility (USD),Canada,3.39
Xtrackers MSCI World Momentum Factor UCITS ETF 1C,IE00BL25JP72,MSCI World Momentum,United States,73.35
Xtrackers MSCI World Momentum Factor UCITS ETF 1C,IE00BL25JP72,MSCI World Momentum,Other,14.78
Xtrackers MSCI World Momentum Factor UCITS ETF 1C,IE00BL25JP72,MSCI World Momentum,Japan,4.72
Xtrackers MSCI World Momentum Factor UCITS ETF 1C,IE00BL25JP72,MSCI World Momentum,Canada,4.53
Xtrackers MSCI World Momentum Factor UCITS ETF 1C,IE00BL25JP72,MSCI World Momentum,Germany,2.62
iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),IE00BP3QZ825,MSCI World Momentum,United States,73.12
iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),IE00BP3QZ825,MSCI World Momentum,Other,15.1
iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),IE00BP3QZ825,MSCI World Momentum,Japan,4.73
iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),IE00BP3QZ825,MSCI World Momentum,Canada,4.48
iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),IE00BP3QZ825,MSCI World Momentum,Germany,2.57
Xtrackers MSCI World Momentum ESG UCITS ETF,IE000TL3PL69,MSCI World Momentum Low Carbon SRI Screened Select,United States,65.21
Xtrackers MSCI World Momentum ESG UCITS ETF,IE000TL3PL69,MSCI World Momentum Low Carbon SRI Screened Select,Other,16.4
Xtrackers MSCI World Momentum ESG UCITS ETF,IE000TL3PL69,MSCI World Momentum Low Carbon SRI Screened Select,Canada,8.24
Xtrackers MSCI World Momentum ESG UCITS ETF,IE000TL3PL69,MSCI World Momentum Low Carbon SRI Screened Select,Japan,5.77
Xtrackers MSCI World Momentum ESG UCITS ETF,IE000TL3PL69,MSCI World Momentum Low Carbon SRI Screened Select,Germany,4.38
Xtrackers MSCI World Quality ESG UCITS ETF 1C,IE0003NQ0IY5,MSCI World Quality Low Carbon SRI Screened Select,United States,71.22
Xtrackers MSCI World Quality ESG UCITS ETF 1C,IE0003NQ0IY5,MSCI World Quality Low Carbon SRI Screened Select,Other,15.84
Xtrackers MSCI World Quality ESG UCITS ETF 1C,IE0003NQ0IY5,MSCI World Quality Low Carbon SRI Screened Select,Switzerland,5.24
Xtrackers MSCI World Quality ESG UCITS ETF 1C,IE0003NQ0IY5,MSCI World Quality Low Carbon SRI Screened Select,Netherlands,3.95
Xtrackers MSCI World Quality ESG UCITS ETF 1C,IE0003NQ0IY5,MSCI World Quality Low Carbon SRI Screened Select,Ireland,3.75
Xtrackers MSCI World Quality Factor UCITS ETF 1C,IE00BL25JL35,MSCI World Sector Neutral Quality,United States,70.82
Xtrackers MSCI World Quality Factor UCITS ETF 1C,IE00BL25JL35,MSCI World Sector Neutral Quality,Other,19.57
Xtrackers MSCI World Quality Factor UCITS ETF 1C,IE00BL25JL35,MSCI World Sector Neutral Quality,Switzerland,4.4
Xtrackers MSCI World Quality Factor UCITS ETF 1C,IE00BL25JL35,MSCI World Sector Neutral Quality,United Kingdom,3.18
Xtrackers MSCI World Quality Factor UCITS ETF 1C,IE00BL25JL35,MSCI World Sector Neutral Quality,Netherlands,2.03
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),IE00BP3QZ601,MSCI World Sector Neutral Quality,United States,70.54
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),IE00BP3QZ601,MSCI World Sector Neutral Quality,Other,19.79
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),IE00BP3QZ601,MSCI World Sector Neutral Quality,Switzerland,4.43
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),IE00BP3QZ601,MSCI World Sector Neutral Quality,United Kingdom,3.2
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),IE00BP3QZ601,MSCI World Sector Neutral Quality,Netherlands,2.04
SPDR MSCI World Small Cap UCITS ETF,IE00BCBJG560,MSCI World Small Cap,United States,57.28
SPDR MSCI World Small Cap UCITS ETF,IE00BCBJG560,MSCI World Small Cap,Other,22.85
SPDR MSCI World Small Cap UCITS ETF,IE00BCBJG560,MSCI World Small Cap,Japan,11.85
SPDR MSCI World Small Cap UCITS ETF,IE00BCBJG560,MSCI World Small Cap,United Kingdom,4.89
SPDR MSCI World Small Cap UCITS ETF,IE00BCBJG560,MSCI World Small Cap,Canada,3.13
iShares MSCI World Small Cap UCITS ETF,IE00BF4RFH31,MSCI World Small Cap,United States,57.04
iShares MSCI World Small Cap UCITS ETF,IE00BF4RFH31,MSCI World Small Cap,Other,23.22
iShares MSCI World Small Cap UCITS ETF,IE00BF4RFH31,MSCI World Small Cap,Japan,11.89
iShares MSCI World Small Cap UCITS ETF,IE00BF4RFH31,MSCI World Small Cap,United Kingdom,4.73
iShares MSCI World Small Cap UCITS ETF,IE00BF4RFH31,MSCI World Small Cap,Canada,3.12
iShares MSCI World SRI UCITS ETF USD (Dist),IE00BDZZTM54,MSCI World SRI Select Reduced Fossil Fuel,United States,66.67
iShares MSCI World SRI UCITS ETF USD (Dist),IE00BDZZTM54,MSCI World SRI Select Reduced Fossil Fuel,Other,19.59
iShares MSCI World SRI UCITS ETF USD (Dist),IE00BDZZTM54,MSCI World SRI Select Reduced Fossil Fuel,Japan,6.86
iShares MSCI World SRI UCITS ETF USD (Dist),IE00BDZZTM54,MSCI World SRI Select Reduced Fossil Fuel,Canada,3.69
iShares MSCI World SRI UCITS ETF USD (Dist),IE00BDZZTM54,MSCI World SRI Select Reduced Fossil Fuel,Switzerland,3.19
iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,MSCI World SRI Select Reduced Fossil Fuel,United States,66.67
iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,MSCI World SRI Select Reduced Fossil Fuel,Other,19.59
iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,MSCI World SRI Select Reduced Fossil Fuel,Japan,6.86
iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,MSCI World SRI Select Reduced Fossil Fuel,Canada,3.69
iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,MSCI World SRI Select Reduced Fossil Fuel,Switzerland,3.19
Xtrackers MSCI World Utilities UCITS ETF 1C,IE00BM67HQ30,MSCI World Utilities,United States,66.75
Xtrackers MSCI World Utilities UCITS ETF 1C,IE00BM67HQ30,MSCI World Utilities,Other,16.7
Xtrackers MSCI World Utilities UCITS ETF 1C,IE00BM67HQ30,MSCI World Utilities,United Kingdom,6.11
Xtrackers MSCI World Utilities UCITS ETF 1C,IE00BM67HQ30,MSCI World Utilities,Spain,5.92
Xtrackers MSCI World Utilities UCITS ETF 1C,IE00BM67HQ30,MSCI World Utilities,Italy,4.52
SPDR MSCI World Utilities UCITS ETF,IE00BYTRRH56,MSCI World Utilities,United States,66.8
SPDR MSCI World Utilities UCITS ETF,IE00BYTRRH56,MSCI World Utilities,Other,16.63
SPDR MSCI World Utilities UCITS ETF,IE00BYTRRH56,MSCI World Utilities,United Kingdom,6.1
SPDR MSCI World Utilities UCITS ETF,IE00BYTRRH56,MSCI World Utilities,Spain,5.96
SPDR MSCI World Utilities UCITS ETF,IE00BYTRRH56,MSCI World Utilities,Italy,4.51
VanEck Crypto and Blockchain Innovators UCITS ETF,IE00BMDKNW35,MVIS US Listed Semiconductor 10% Capped,United States,59.35
VanEck Crypto and Blockchain Innovators UCITS ETF,IE00BMDKNW35,MVIS US Listed Semiconductor 10% Capped,Other,23.46
VanEck Crypto and Blockchain Innovators UCITS ETF,IE00BMDKNW35,MVIS US Listed Semiconductor 10% Capped,Germany,5.87
VanEck Crypto and Blockchain Innovators UCITS ETF,IE00BMDKNW35,MVIS US Listed Semiconductor 10% Capped,Australia,4.01
VanEck Crypto and Blockchain Innovators UCITS ETF,IE00BMDKNW35,MVIS US Listed Semiconductor 10% Capped,Canada,3.98
VanEck Crypto and Blockchain Innovators UCITS ETF,IE00BMDKNW35,MVIS US Listed Semiconductor 10% Capped,China,3.33
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,IE00BGV5VN51,Nasdaq Global Artificial Intelligence and Big Data,United States,81.42
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,IE00BGV5VN51,Nasdaq Global Artificial Intelligence and Big Data,Other,6.98
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,IE00BGV5VN51,Nasdaq Global Artificial Intelligence and Big Data,Germany,4.1
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,IE00BGV5VN51,Nasdaq Global Artificial Intelligence and Big Data,Ireland,3.83
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,IE00BGV5VN51,Nasdaq Global Artificial Intelligence and Big Data,South Korea,3.67
Lyxor NYSE Arca Gold BUGS (DR) UCITS ETF,LU0488317701,NYSE Arca Gold BUGS,Canada,57.81
Lyxor NYSE Arca Gold BUGS (DR) UCITS ETF,LU0488317701,NYSE Arca Gold BUGS,United States,26.01
Lyxor NYSE Arca Gold BUGS (DR) UCITS ETF,LU0488317701,NYSE Arca Gold BUGS,Other,16.18
L&G Artificial Intelligence UCITS ETF,IE00BK5BCD43,ROBO Global Artificial Intelligence,United States,68.7
L&G Artificial Intelligence UCITS ETF,IE00BK5BCD43,ROBO Global Artificial Intelligence,Other,21.12
L&G Artificial Intelligence UCITS ETF,IE00BK5BCD43,ROBO Global Artificial Intelligence,Taiwan,6.26
L&G Artificial Intelligence UCITS ETF,IE00BK5BCD43,ROBO Global Artificial Intelligence,Israel,2.14
L&G Artificial Intelligence UCITS ETF,IE00BK5BCD43,ROBO Global Artificial Intelligence,Canada,1.78
L&G ROBO Global Robotics and Automation UCITS ETF,IE00BMW3QX54,ROBO Global Robotics and Automation,United States,41.85
L&G ROBO Global Robotics and Automation UCITS ETF,IE00BMW3QX54,ROBO Global Robotics and Automation,Other,22.76
L&G ROBO Global Robotics and Automation UCITS ETF,IE00BMW3QX54,ROBO Global Robotics and Automation,Japan,22.18
L&G ROBO Global Robotics and Automation UCITS ETF,IE00BMW3QX54,ROBO Global Robotics and Automation,Germany,7.52
L&G ROBO Global Robotics and Automation UCITS ETF,IE00BMW3QX54,ROBO Global Robotics and Automation,Taiwan,5.69
Invesco S&P 500 High Dividend Low Volatility UCITS ETF,IE00BWTN6Y99,S&P 500 Low Volatility High Dividend,United States,92.69
Invesco S&P 500 High Dividend Low Volatility UCITS ETF,IE00BWTN6Y99,S&P 500 Low Volatility High Dividend,United Kingdom,3.71
Invesco S&P 500 High Dividend Low Volatility UCITS ETF,IE00BWTN6Y99,S&P 500 Low Volatility High Dividend,Other,2.12
Invesco S&P 500 High Dividend Low Volatility UCITS ETF,IE00BWTN6Y99,S&P 500 Low Volatility High Dividend,Ireland,1.48
iShares Edge S&P 500 Minimum Volatility UCITS ETF (Acc),IE00B6SPMN59,S&P 500 Minimum Volatility,United States,90.05
iShares Edge S&P 500 Minimum Volatility UCITS ETF (Acc),IE00B6SPMN59,S&P 500 Minimum Volatility,Other,4.08
iShares Edge S&P 500 Minimum Volatility UCITS ETF (Acc),IE00B6SPMN59,S&P 500 Minimum Volatility,Ireland,3.33
iShares Edge S&P 500 Minimum Volatility UCITS ETF (Acc),IE00B6SPMN59,S&P 500 Minimum Volatility,Switzerland,2.54
iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Dist),IE00BD93YH54,S&P 500 Minimum Volatility,United States,90.05
iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Dist),IE00BD93YH54,S&P 500 Minimum Volatility,Other,4.08
iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Dist),IE00BD93YH54,S&P 500 Minimum Volatility,Ireland,3.33
iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Dist),IE00BD93YH54,S&P 500 Minimum Volatility,Switzerland,2.54
iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYX8XD24,S&P 500 Minimum Volatility (EUR Hedged),United States,90.05
iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYX8XD24,S&P 500 Minimum Volatility (EUR Hedged),Other,4.08
iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYX8XD24,S&P 500 Minimum Volatility (EUR Hedged),Ireland,3.33
iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYX8XD24,S&P 500 Minimum Volatility (EUR Hedged),Switzerland,2.54
iShares Gold Producers UCITS ETF,IE00B6R52036,S&P Commodity Producers Gold,Canada,54.59
iShares Gold Producers UCITS ETF,IE00B6R52036,S&P Commodity Producers Gold,United States,14.5
iShares Gold Producers UCITS ETF,IE00B6R52036,S&P Commodity Producers Gold,Australia,12.95
iShares Gold Producers UCITS ETF,IE00B6R52036,S&P Commodity Producers Gold,Other,11.31
iShares Gold Producers UCITS ETF,IE00B6R52036,S&P Commodity Producers Gold,China,4.96
iShares Gold Producers UCITS ETF,IE00B6R52036,S&P Commodity Producers Gold,United Kingdom,1.69
SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),IE00B5M1WJ87,S&P Euro High Yield Dividend Aristocrats,Italy,24.86
SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),IE00B5M1WJ87,S&P Euro High Yield Dividend Aristocrats,Germany,23.6
SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),IE00B5M1WJ87,S&P Euro High Yield Dividend Aristocrats,Other,23.53
SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),IE00B5M1WJ87,S&P Euro High Yield Dividend Aristocrats,France,15.32
SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),IE00B5M1WJ87,S&P Euro High Yield Dividend Aristocrats,Belgium,12.69
iShares Global Clean Energy UCITS ETF,IE00B1XNHC34,S&P Global Clean Energy,Other,49.72
iShares Global Clean Energy UCITS ETF,IE00B1XNHC34,S&P Global Clean Energy,United States,19.93
iShares Global Clean Energy UCITS ETF,IE00B1XNHC34,S&P Global Clean Energy,China,12.12
iShares Global Clean Energy UCITS ETF,IE00B1XNHC34,S&P Global Clean Energy,Brazil,9.71
iShares Global Clean Energy UCITS ETF,IE00B1XNHC34,S&P Global Clean Energy,Spain,8.52
SPDR S&P Global Dividend Aristocrats UCITS ETF,IE00B9CQXS71,S&P Global Dividend Aristocrats,United States,52.37
SPDR S&P Global Dividend Aristocrats UCITS ETF,IE00B9CQXS71,S&P Global Dividend Aristocrats,Other,27.19
SPDR S&P Global Dividend Aristocrats UCITS ETF,IE00B9CQXS71,S&P Global Dividend Aristocrats,Canada,8.1
SPDR S&P Global Dividend Aristocrats UCITS ETF,IE00B9CQXS71,S&P Global Dividend Aristocrats,United Kingdom,6.39
SPDR S&P Global Dividend Aristocrats UCITS ETF,IE00B9CQXS71,S&P Global Dividend Aristocrats,Switzerland,5.95
VanEck Global Mining UCITS ETF A,IE00BDFBTQ78,S&P Global Mining Reduced Coal,Canada,27.55
VanEck Global Mining UCITS ETF A,IE00BDFBTQ78,S&P Global Mining Reduced Coal,Other,23.76
VanEck Global Mining UCITS ETF A,IE00BDFBTQ78,S&P Global Mining Reduced Coal,Australia,20.95
VanEck Global Mining UCITS ETF A,IE00BDFBTQ78,S&P Global Mining Reduced Coal,United States,15.41
VanEck Global Mining UCITS ETF A,IE00BDFBTQ78,S&P Global Mining Reduced Coal,United Kingdom,12.33
iShares Global Water UCITS ETF USD (Acc),IE000CFH1JX2,S&P Global Water,United States,49.91
iShares Global Water UCITS ETF USD (Acc),IE000CFH1JX2,S&P Global Water,Other,20.97
iShares Global Water UCITS ETF USD (Acc),IE000CFH1JX2,S&P Global Water,United Kingdom,16.46
iShares Global Water UCITS ETF USD (Acc),IE000CFH1JX2,S&P Global Water,Switzerland,7.17
iShares Global Water UCITS ETF USD (Acc),IE000CFH1JX2,S&P Global Water,Brazil,5.49
iShares Global Water UCITS ETF,IE00B1TXK627,S&P Global Water,United States,49.91
iShares Global Water UCITS ETF,IE00B1TXK627,S&P Global Water,Other,20.97
iShares Global Water UCITS ETF,IE00B1TXK627,S&P Global Water,United Kingdom,16.46
iShares Global Water UCITS ETF,IE00B1TXK627,S&P Global Water,Switzerland,7.17
iShares Global Water UCITS ETF,IE00B1TXK627,S&P Global Water,Brazil,5.49
SPDR S&P US Dividend Aristocrats UCITS ETF,IE00B6YX5D40,S&P High Yield Dividend Aristocrats,United States,93.84
SPDR S&P US Dividend Aristocrats UCITS ETF,IE00B6YX5D40,S&P High Yield Dividend Aristocrats,Other,3.17
SPDR S&P US Dividend Aristocrats UCITS ETF,IE00B6YX5D40,S&P High Yield Dividend Aristocrats,Ireland,1.65
SPDR S&P US Dividend Aristocrats UCITS ETF,IE00B6YX5D40,S&P High Yield Dividend Aristocrats,United Kingdom,1.34
iShares Listed Private Equity UCITS ETF,IE00B1TXHL60,S&P Listed Private Equity,United States,46.75
iShares Listed Private Equity UCITS ETF,IE00B1TXHL60,S&P Listed Private Equity,Other,28.47
iShares Listed Private Equity UCITS ETF,IE00B1TXHL60,S&P Listed Private Equity,United Kingdom,13.6
iShares Listed Private Equity UCITS ETF,IE00B1TXHL60,S&P Listed Private Equity,Switzerland,6.95
iShares Listed Private Equity UCITS ETF,IE00B1TXHL60,S&P Listed Private Equity,Sweden,4.23
SPDR S&P 400 US Mid Cap UCITS ETF,IE00B4YBJ215,S&P MidCap 400,United States,92.86
SPDR S&P 400 US Mid Cap UCITS ETF,IE00B4YBJ215,S&P MidCap 400,Other,4.75
SPDR S&P 400 US Mid Cap UCITS ETF,IE00B4YBJ215,S&P MidCap 400,United Kingdom,1.23
SPDR S&P 400 US Mid Cap UCITS ETF,IE00B4YBJ215,S&P MidCap 400,Bermuda,1.16
L&G Battery Value-Chain UCITS ETF,IE00BF0M2Z96,Solactive Battery Value-Chain,Other,39.53
L&G Battery Value-Chain UCITS ETF,IE00BF0M2Z96,Solactive Battery Value-Chain,Japan,24.17
L&G Battery Value-Chain UCITS ETF,IE00BF0M2Z96,Solactive Battery Value-Chain,United States,13.12
L&G Battery Value-Chain UCITS ETF,IE00BF0M2Z96,Solactive Battery Value-Chain,Germany,12.12
L&G Battery Value-Chain UCITS ETF,IE00BF0M2Z96,Solactive Battery Value-Chain,South Korea,11.06
L&G Clean Water UCITS ETF,IE00BK5BC891,Solactive Clean Water,United States,52.77
L&G Clean Water UCITS ETF,IE00BK5BC891,Solactive Clean Water,Other,21.54
L&G Clean Water UCITS ETF,IE00BK5BC891,Solactive Clean Water,United Kingdom,12.47
L&G Clean Water UCITS ETF,IE00BK5BC891,Solactive Clean Water,Japan,9.47
L&G Clean Water UCITS ETF,IE00BK5BC891,Solactive Clean Water,Switzerland,3.75
Amundi Prime Eurozone UCITS ETF DR (D),LU1931974429,Solactive Euro 50,Germany,27.14
Amundi Prime Eurozone UCITS ETF DR (D),LU1931974429,Solactive Euro 50,France,26.48
Amundi Prime Eurozone UCITS ETF DR (D),LU1931974429,Solactive Euro 50,Other,22.27
Amundi Prime Eurozone UCITS ETF DR (D),LU1931974429,Solactive Euro 50,Netherlands,15.66
Amundi Prime Eurozone UCITS ETF DR (D),LU1931974429,Solactive Euro 50,Italy,8.45
Amundi Prime Eurozone UCITS ETF DR (C),LU2089238112,Solactive Euro 50,Germany,27.14
